Class	Adduct	Ion mode	IsSelected
CAR	[M+H]+	Positive	TRUE
LPC	[M+H]+	Positive	TRUE
LPC	[M+Na]+	Positive	TRUE
LPE	[M+H]+	Positive	TRUE
PC	[M+H]+	Positive	TRUE
PC	[M+Na]+	Positive	TRUE
PE	[M+H]+	Positive	TRUE
PE	[M+Na]+	Positive	TRUE
PI	[M+NH4]+	Positive	TRUE
PI	[M+Na]+	Positive	TRUE
PS	[M+H]+	Positive	TRUE
PS	[M+Na]+	Positive	TRUE
PT	[M+H]+	Positive	FALSE
PG	[M+NH4]+	Positive	TRUE
BMP	[M+NH4]+	Positive	TRUE
HBMP	[M+NH4]+	Positive	FALSE
CL	[M+NH4]+	Positive	FALSE
EtherLPC	[M+H]+	Positive	TRUE
EtherLPE	[M+H]+	Positive	TRUE
EtherPC	[M+H]+	Positive	TRUE
EtherPE	[M+H]+	Positive	TRUE
Sph	[M+H]+	Positive	TRUE
DHSph	[M+H]+	Positive	TRUE
PhytoSph	[M+H]+	Positive	TRUE
SM	[M+H]+	Positive	TRUE
SM	[M+Na]+	Positive	TRUE
NAE	[M+H]+	Positive	TRUE
#GPNAE	[M+H]+	Positive	TRUE
MGDG	[M+NH4]+	Positive	FALSE
DGDG	[M+NH4]+	Positive	FALSE
#MGMG	[M+NH4]+	Positive	FALSE
#DGMG	[M+NH4]+	Positive	FALSE
EtherMGDG	[M+NH4]+	Positive	FALSE
EtherDGDG	[M+NH4]+	Positive	FALSE
LDGTS	[M+H]+	Positive	FALSE
LDGTA	[M+H]+	Positive	FALSE
DGTS	[M+H]+	Positive	FALSE
DGTA	[M+H]+	Positive	FALSE
LDGTS	[M+Na]+	Positive	FALSE
LDGTA	[M+Na]+	Positive	FALSE
DGTS	[M+Na]+	Positive	FALSE
DGTA	[M+Na]+	Positive	FALSE
LDGCC	[M+H]+	Positive	FALSE
DGCC	[M+H]+	Positive	FALSE
SQDG	[M+NH4]+	Positive	FALSE
DGGA	[M+NH4]+	Positive	FALSE
SHexCer	[M+H]+	Positive	FALSE
DGGA	[M-H]-	Negative	FALSE
ADGGA	[M+NH4]+	Positive	FALSE
ADGGA	[M-H]-	Negative	FALSE
MG	[M+NH4]+	Positive	TRUE
DG	[M+NH4]+	Positive	TRUE
DG	[M+Na]+	Positive	TRUE
EtherDG	[M+NH4]+	Positive	TRUE
TG	[M+NH4]+	Positive	TRUE
TG	[M+Na]+	Positive	TRUE
EtherTG	[M+NH4]+	Positive	FALSE
EtherTG	[M+Na]+	Positive	FALSE
CE	[M+NH4]+	Positive	TRUE
BRSE	[M+NH4]+	Positive	TRUE
CASE	[M+NH4]+	Positive	TRUE
SISE	[M+NH4]+	Positive	TRUE
STSE	[M+NH4]+	Positive	TRUE
AHexCS	[M+NH4]+	Positive	TRUE
AHexCS	[M-H]-	Negative	TRUE
AHexCS	[M+CH3COO]-	Negative	TRUE
AHexCS	[M+HCOO]-	Negative	TRUE
AHexBRS	[M+NH4]+	Positive	TRUE
AHexBRS	[M-H]-	Negative	TRUE
AHexBRS	[M+CH3COO]-	Negative	TRUE
AHexBRS	[M+HCOO]-	Negative	TRUE
AHexCAS	[M+NH4]+	Positive	TRUE
AHexCAS	[M-H]-	Negative	TRUE
AHexCAS	[M+CH3COO]-	Negative	TRUE
AHexCAS	[M+HCOO]-	Negative	TRUE
AHexSIS	[M+NH4]+	Positive	TRUE
AHexSIS	[M-H]-	Negative	TRUE
AHexSIS	[M+CH3COO]-	Negative	TRUE
AHexSIS	[M+HCOO]-	Negative	TRUE
AHexSTS	[M+NH4]+	Positive	TRUE
AHexSTS	[M-H]-	Negative	TRUE
AHexSTS	[M+CH3COO]-	Negative	TRUE
AHexSTS	[M+HCOO]-	Negative	TRUE
#SPE	[M+H]+	Positive	TRUE
SHex	[M+NH4]+	Positive	TRUE
SSulfate	[M+NH4]+	Positive	TRUE
#BAHex	[M+NH4]+	Positive	TRUE
BASulfate	[M+NH4]+	Positive	TRUE
#SPEHex	[M+NH4]+	Positive	TRUE
#SPGHex	[M+NH4]+	Positive	TRUE
#CSLPHex	[M+NH4]+	Positive	TRUE
#BRSLPHex	[M+NH4]+	Positive	TRUE
#CASLPHex	[M+NH4]+	Positive	TRUE
#SISLPHex	[M+NH4]+	Positive	TRUE
#STSLPHex	[M+NH4]+	Positive	TRUE
#CSPHex	[M+NH4]+	Positive	TRUE
#BRSPHex	[M+NH4]+	Positive	TRUE
#CASPHex	[M+NH4]+	Positive	TRUE
#SISPHex	[M+NH4]+	Positive	TRUE
#STSPHex	[M+NH4]+	Positive	TRUE
#SPE	[M-H]-	Negative	TRUE
SHex	[M+HCOO]-	Negative	TRUE
SHex	[M+CH3COO]-	Negative	TRUE
SSulfate	[M-H]-	Negative	TRUE
#BAHex	[M+HCOO]-	Negative	TRUE
#BAHex	[M+CH3COO]-	Negative	TRUE
BASulfate	[M-H]-	Negative	TRUE
#SPGHex	[M-H]-	Negative	TRUE
#CSLPHex	[M-H]-	Negative	TRUE
#BRSLPHex	[M-H]-	Negative	TRUE
#CASLPHex	[M-H]-	Negative	TRUE
#SISLPHex	[M-H]-	Negative	TRUE
#STSLPHex	[M-H]-	Negative	TRUE
#CSPHex	[M-H]-	Negative	TRUE
#BRSPHex	[M-H]-	Negative	TRUE
#CASPHex	[M-H]-	Negative	TRUE
#SISPHex	[M-H]-	Negative	TRUE
#STSPHex	[M-H]-	Negative	TRUE
##Cholesterol	[M+NH4]+	Positive	TRUE
##Cholesterol	[M+Na]+	Positive	TRUE
##Cholesterol	[M-H2O+H]+	Positive	TRUE
##CholesterolSulfate	[M-H]-	Negative	TRUE
CoQ	[M+H]+	Positive	FALSE
Vitamin_D	[M+H]+	Positive	TRUE
Vitamin_D	[M+Na]+	Positive	TRUE
Vitamin_E	[M-H]-	Negative	TRUE
Vitamin_E	[M+CH3COO]-	Negative	TRUE
Vitamin_E	[M+HCOO]-	Negative	TRUE
VAE	[M+H]+	Positive	TRUE
VAE	[M+Na]+	Positive	TRUE
BileAcid	[M-H]-	Negative	TRUE
BileAcid	[M+CH3COO]-	Negative	TRUE
DCAE	[M-H]-	Negative	TRUE
#GDCAE	[M-H]-	Negative	TRUE
#GLCAE	[M-H]-	Negative	TRUE
#TDCAE	[M-H]-	Negative	TRUE
#TLCAE	[M-H]-	Negative	TRUE
DCAE	[M+NH4]+	Positive	TRUE
#GDCAE	[M+NH4]+	Positive	TRUE
#GLCAE	[M+NH4]+	Positive	TRUE
#TDCAE	[M+NH4]+	Positive	TRUE
#TLCAE	[M+NH4]+	Positive	TRUE
FA	[M-H]-	Negative	TRUE
FAHFA	[M-H]-	Negative	TRUE
DMEDFAHFA	[M+H]+	Positive	FALSE
DMEDFA	[M+H]+	Positive	FALSE
DMEDOxFA	[M+H]+	Positive	FALSE
NAGly	[M-H]-	Negative	TRUE
NAGly	[M+H]+	Positive	TRUE
NAGly	[M+NH4]+	Positive	TRUE
NAGlySer	[M-H]-	Negative	TRUE
NAGlySer	[M+H]+	Positive	TRUE
NAGlySer	[M+NH4]+	Positive	TRUE
NAOrn	[M+H]+	Positive	TRUE
NAPhe	[M+H]+	Positive	TRUE
NATau	[M+H]+	Positive	TRUE
NATau	[M+NH4]+	Positive	TRUE
NAPhe	[M-H]-	Negative	TRUE
NATau	[M-H]-	Negative	TRUE
SL	[M-H]-	Negative	TRUE
SL	[M+H]+	Positive	TRUE
SL	[M+NH4]+	Positive	TRUE
LPC	[M+CH3COO]-	Negative	TRUE
LPC	[M+HCOO]-	Negative	TRUE
LPE	[M-H]-	Negative	TRUE
LPS	[M-H]-	Negative	TRUE
LPG	[M-H]-	Negative	TRUE
LPI	[M-H]-	Negative	TRUE
LPA	[M-H]-	Negative	FALSE
PA	[M-H]-	Negative	TRUE
PC	[M+CH3COO]-	Negative	FALSE
PC	[M+HCOO]-	Negative	TRUE
PE	[M-H]-	Negative	TRUE
PG	[M-H]-	Negative	TRUE
PI	[M-H]-	Negative	TRUE
PS	[M-H]-	Negative	TRUE
PT	[M-H]-	Negative	FALSE
OxPC	[M+CH3COO]-	Negative	TRUE
OxPC	[M+HCOO]-	Negative	TRUE
OxPE	[M-H]-	Negative	TRUE
OxPG	[M-H]-	Negative	TRUE
OxPS	[M-H]-	Negative	TRUE
OxPI	[M-H]-	Negative	TRUE
EtherOxPC	[M+CH3COO]-	Negative	TRUE
EtherOxPC	[M+HCOO]-	Negative	TRUE
EtherOxPE	[M-H]-	Negative	TRUE
PMeOH	[M-H]-	Negative	TRUE
PEtOH	[M-H]-	Negative	TRUE
HBMP	[M-H]-	Negative	FALSE
LNAPE	[M-H]-	Negative	FALSE
LNAPS	[M-H]-	Negative	FALSE
CL	[M-H]-	Negative	TRUE
CL	[M-2H]2-	Negative	TRUE
DLCL	[M-H]-	Negative	FALSE
MLCL	[M-H]-	Negative	FALSE
EtherPC	[M+CH3COO]-	Negative	TRUE
EtherPC	[M+HCOO]-	Negative	TRUE
EtherPE	[M-H]-	Negative	TRUE
EtherPS	[M-H]-	Negative	TRUE
EtherPI	[M-H]-	Negative	TRUE
EtherPG	[M-H]-	Negative	TRUE
EtherLPC	[M+CH3COO]-	Negative	TRUE
EtherLPC	[M+HCOO]-	Negative	TRUE
EtherLPE	[M-H]-	Negative	TRUE
EtherLPG	[M-H]-	Negative	TRUE
MGDG	[M+CH3COO]-	Negative	FALSE
MGDG	[M+HCOO]-	Negative	FALSE
DGDG	[M+CH3COO]-	Negative	FALSE
DGDG	[M+HCOO]-	Negative	FALSE
LDGTS	[M+CH3COO]-	Negative	FALSE
DGTS	[M+CH3COO]-	Negative	FALSE
LDGTS	[M+HCOO]-	Negative	FALSE
DGTS	[M+HCOO]-	Negative	FALSE
LDGTA	[M+CH3COO]-	Negative	FALSE
DGTA	[M+CH3COO]-	Negative	FALSE
LDGTA	[M+HCOO]-	Negative	FALSE
DGTA	[M+HCOO]-	Negative	FALSE
#MGMG	[M+CH3COO]-	Negative	FALSE
#MGMG	[M+HCOO]-	Negative	FALSE
#DGMG	[M+CH3COO]-	Negative	FALSE
#DGMG	[M+HCOO]-	Negative	FALSE
EtherMGDG	[M+CH3COO]-	Negative	FALSE
EtherMGDG	[M+HCOO]-	Negative	FALSE
EtherDGDG	[M+CH3COO]-	Negative	FALSE
EtherDGDG	[M+HCOO]-	Negative	FALSE
EtherSMGDG	[M-H]-	Negative	TRUE
#SMGDG	[M-H]-	Negative	TRUE
SQDG	[M-H]-	Negative	FALSE
SM	[M+CH3COO]-	Negative	TRUE
SM	[M+HCOO]-	Negative	TRUE
Cer_NS	[M+H]+	Positive	True
Cer_NS	[M+H-H2O]+	Positive	True
Cer_NS	[M+Na]+	Positive	True
Cer_NS	[M-H]-	Negative	True
Cer_NS	[M+HCOO]-	Negative	True
Cer_NS	[M+CH3COO]-	Negative	True
Cer_NDS	[M+H]+	Positive	True
Cer_NDS	[M+H-H2O]+	Positive	True
Cer_NDS	[M+Na]+	Positive	True
Cer_NDS	[M-H]-	Negative	True
Cer_NDS	[M+HCOO]-	Negative	True
Cer_NDS	[M+CH3COO]-	Negative	True
##Cer_OS	[M+CH3COO]-	Negative	True
##Cer_OS	[M+HCOO]-	Negative	True
Cer_AS	[M-H]-	Negative	FALSE
Cer_AS	[M+HCOO]-	Negative	FALSE
Cer_AS	[M+CH3COO]-	Negative	FALSE
Cer_ADS	[M-H]-	Negative	FALSE
Cer_ADS	[M+HCOO]-	Negative	FALSE
Cer_ADS	[M+CH3COO]-	Negative	FALSE
Cer_BS	[M-H]-	Negative	FALSE
Cer_BS	[M+HCOO]-	Negative	FALSE
Cer_BS	[M+CH3COO]-	Negative	FALSE
Cer_BDS	[M-H]-	Negative	FALSE
Cer_BDS	[M+HCOO]-	Negative	FALSE
Cer_BDS	[M+CH3COO]-	Negative	FALSE
Cer_NP	[M-H]-	Negative	FALSE
Cer_NP	[M+HCOO]-	Negative	FALSE
Cer_NP	[M+CH3COO]-	Negative	FALSE
Cer_EOS	[M+H]+	Positive	FALSE
Cer_EOS	[M+H-H2O]+	Positive	FALSE
Cer_EOS	[M-H]-	Negative	FALSE
Cer_EOS	[M+HCOO]-	Negative	FALSE
Cer_EOS	[M+CH3COO]-	Negative	FALSE
Cer_EODS	[M-H]-	Negative	FALSE
Cer_EODS	[M+HCOO]-	Negative	FALSE
Cer_EODS	[M+CH3COO]-	Negative	FALSE
Cer_AP	[M+H]+	Positive	True
Cer_AP	[M+H-H2O]+	Positive	True
Cer_AP	[M-H]-	Negative	True
Cer_AP	[M+HCOO]-	Negative	True
Cer_AP	[M+CH3COO]-	Negative	True
Cer_HS	[M+H]+	Positive	True
Cer_HS	[M+H-H2O]+	Positive	True
Cer_HDS	[M+H]+	Positive	True
Cer_HDS	[M+H-H2O]+	Positive	True
##Cer_NDOS	[M+H]+	Positive	True
Cer_EBDS	[M+HCOO]-	Negative	True
Cer_EBDS	[M+CH3COO]-	Negative	True
CerP	[M-H]-	Negative	FALSE
CerP	[M+H]+	Positive	FALSE
HexCer_NS	[M+H]+	Positive	True
HexCer_NS	[M+H-H2O]+	Positive	True
HexCer_NS	[M-H]-	Negative	True
HexCer_NS	[M+HCOO]-	Negative	True
HexCer_NS	[M+CH3COO]-	Negative	True
HexCer_NDS	[M+H]+	Positive	True
HexCer_NDS	[M+H-H2O]+	Positive	True
HexCer_NDS	[M-H]-	Negative	True
HexCer_NDS	[M+HCOO]-	Negative	True
HexCer_NDS	[M+CH3COO]-	Negative	True
HexCer_AP	[M+H]+	Positive	True
HexCer_AP	[M+H-H2O]+	Positive	True
HexCer_AP	[M-H]-	Negative	True
HexCer_AP	[M+HCOO]-	Negative	True
HexCer_AP	[M+CH3COO]-	Negative	True
HexCer_EOS	[M+H]+	Positive	FALSE
HexCer_EOS	[M+H-H2O]+	Positive	FALSE
HexCer_EOS	[M-H]-	Negative	FALSE
